,fully_layer_1,fully_layer_2,learning_rate,batch_size,drop_rate
1,128,256,0.0005,32,0.6
1,128,256,0.001,32,0.5
1,512,16,0.0001,32,0.6
1,16,256,0.0005,64,0.5
1,128,512,0.005,64,0.5
1,512,256,0.0001,64,0.8
1,32,256,0.0001,32,0.8
1,256,512,0.0001,32,0.8
1,32,128,0.0001,32,0.6
1,16,256,0.0001,32,0.8
1,256,16,0.0005,64,0.6
1,128,256,0.001,64,0.6
1,128,512,0.0005,64,0.8
1,16,256,0.0005,32,0.6
1,32,256,0.001,64,0.6
1,16,16,0.005,64,0.5
1,512,256,0.001,32,0.8
1,256,128,0.005,64,0.5
1,128,128,0.0001,64,0.6
1,256,32,0.001,32,0.5
1,32,16,0.001,64,0.5
1,512,32,0.0001,32,0.6
1,512,16,0.0001,32,0.8
1,128,512,0.001,64,0.5
1,512,128,0.005,32,0.6
1,512,512,0.0001,64,0.8
1,128,32,0.01,64,0.5
1,256,32,0.0005,64,0.6
1,128,512,0.001,64,0.6
1,128,256,0.0001,32,0.8
1,256,128,0.001,64,0.8
1,512,128,0.0005,32,0.8
1,256,128,0.001,32,0.6
1,128,16,0.0001,64,0.6
1,32,32,0.01,64,0.5
1,256,128,0.0001,32,0.6
1,16,256,0.001,64,0.6
1,32,16,0.0005,32,0.8
1,256,16,0.0005,64,0.5
1,32,128,0.001,32,0.5
1,32,16,0.001,64,0.6
1,256,32,0.005,32,0.6
1,512,16,0.001,32,0.8
1,128,512,0.0001,64,0.8
1,128,32,0.0001,32,0.5
1,32,512,0.0005,64,0.8
1,128,512,0.0001,64,0.6
1,128,16,0.0001,32,0.5
1,512,128,0.0001,64,0.6
1,32,256,0.0005,32,0.5
1,32,256,0.0001,64,0.5
1,256,16,0.0001,64,0.6
1,32,128,0.001,64,0.6
1,512,256,0.0001,32,0.6
1,128,32,0.001,32,0.8
1,512,32,0.001,32,0.6
1,16,128,0.0001,32,0.6
1,256,256,0.0001,64,0.5
1,128,512,0.001,32,0.8
1,32,32,0.001,32,0.6
1,32,256,0.0001,64,0.8
1,256,256,0.005,64,0.5
1,256,512,0.001,32,0.5
1,128,32,0.001,64,0.5
1,32,32,0.0001,32,0.5
1,512,32,0.0001,64,0.5
1,32,256,0.0005,64,0.8
1,512,256,0.001,32,0.6
1,128,16,0.0005,32,0.8
1,32,16,0.01,64,0.6
1,32,16,0.0001,64,0.5
1,32,128,0.0001,64,0.6
1,128,32,0.005,32,0.6
1,32,128,0.0005,64,0.6
1,16,128,0.0005,64,0.5
1,128,16,0.0001,64,0.8
1,16,32,0.0005,32,0.6
1,128,32,0.0001,64,0.6
1,512,128,0.005,64,0.5
1,512,128,0.001,64,0.8
1,128,128,0.0001,64,0.5
1,256,16,0.0005,32,0.6
1,128,128,0.001,32,0.8
1,256,128,0.0001,64,0.6
1,512,128,0.001,32,0.6
1,128,32,0.0001,64,0.5
1,128,16,0.0005,64,0.6
1,32,32,0.0001,64,0.6
1,256,256,0.001,64,0.8
1,16,32,0.001,32,0.5
1,512,512,0.001,64,0.6
1,128,128,0.005,32,0.5
1,512,16,0.0001,64,0.6
1,16,32,0.0005,64,0.6
1,16,16,0.001,32,0.6
1,128,32,0.001,32,0.6
1,16,128,0.0005,64,0.6
1,256,256,0.001,32,0.6
1,256,32,0.001,32,0.6
1,512,16,0.001,32,0.5
1,128,256,0.0005,64,0.5
1,32,128,0.0001,32,0.5
1,128,512,0.0001,32,0.8
1,128,512,0.001,64,0.8
1,512,256,0.0005,64,0.8
1,128,256,0.0001,32,0.5
1,128,16,0.0001,64,0.5
1,128,128,0.01,64,0.6
1,512,512,0.001,32,0.8
1,128,256,0.0001,32,0.6
1,32,512,0.001,64,0.5
1,32,16,0.0001,64,0.6
1,32,512,0.0001,32,0.6
1,16,16,0.0005,32,0.5
1,256,128,0.0001,64,0.8
1,128,128,0.001,64,0.8
1,128,128,0.001,32,0.6
1,256,32,0.0001,64,0.5
1,512,512,0.005,32,0.5
1,256,16,0.001,64,0.8
1,256,128,0.001,32,0.8
1,128,256,0.005,64,0.5
1,512,512,0.001,64,0.8
1,512,16,0.001,64,0.6
1,32,16,0.0005,32,0.5
1,256,32,0.0001,32,0.6
1,16,256,0.0001,64,0.5
1,16,512,0.0005,64,0.5
1,16,128,0.0001,64,0.6
1,512,512,0.005,64,0.5
1,16,16,0.001,32,0.5
1,512,32,0.001,32,0.5
1,512,32,0.0005,32,0.8
1,512,16,0.0005,64,0.6
1,256,256,0.001,64,0.6
1,512,32,0.0001,64,0.8
1,256,16,0.001,32,0.5
1,256,512,0.001,32,0.6
1,128,128,0.001,64,0.6
1,16,256,0.0001,64,0.8
1,256,256,0.001,32,0.5
1,256,256,0.0001,64,0.6
1,512,128,0.0001,32,0.8
1,128,16,0.001,32,0.8
1,512,128,0.005,64,0.8
1,128,32,0.001,32,0.5
1,32,16,0.001,32,0.5
1,512,16,0.0001,64,0.5
1,32,128,0.001,64,0.5
1,16,128,0.001,64,0.5
1,128,16,0.0001,32,0.6
1,128,256,0.0001,64,0.8
1,512,256,0.0005,32,0.6
1,128,256,0.0001,64,0.6
1,16,512,0.0001,64,0.8
1,16,128,0.001,32,0.5
1,256,256,0.0005,32,0.5
1,128,256,0.001,64,0.8
1,32,256,0.0001,32,0.5
1,32,32,0.005,64,0.6
1,512,256,0.0005,32,0.8
1,256,16,0.0005,32,0.8
1,128,256,0.0005,64,0.6
1,512,32,0.0005,64,0.8
1,256,512,0.0005,64,0.8
1,512,512,0.0005,32,0.8
1,256,512,0.01,64,0.5
1,256,16,0.0001,32,0.6
1,128,16,0.001,64,0.5
1,16,512,0.0001,64,0.6
1,32,32,0.0005,32,0.6
1,16,128,0.0001,64,0.5
1,128,16,0.005,64,0.5
1,16,128,0.0001,32,0.8
1,32,128,0.0001,64,0.8
1,256,32,0.0001,64,0.8
1,256,256,0.0005,64,0.8
1,16,256,0.0001,64,0.6
1,32,256,0.0001,64,0.6
1,128,128,0.0005,64,0.5
1,32,32,0.005,32,0.6
1,32,16,0.0005,64,0.6
1,32,128,0.0001,64,0.5
1,256,512,0.0001,64,0.8
1,128,16,0.001,64,0.8
1,32,32,0.0001,64,0.8
1,16,32,0.01,64,0.5
1,16,16,0.005,32,0.5
1,32,32,0.0001,32,0.6
1,256,32,0.0005,32,0.8
1,512,256,0.001,64,0.5
1,32,256,0.0005,64,0.6
1,32,32,0.001,64,0.6
1,16,128,0.0001,64,0.8
1,32,512,0.001,32,0.6
1,32,128,0.0005,32,0.6
1,16,32,0.0001,32,0.5
1,256,16,0.0001,32,0.8
1,128,128,0.0001,32,0.6
1,128,16,0.0005,64,0.8
1,32,16,0.005,64,0.5
1,256,256,0.0005,32,0.8
1,16,16,0.001,64,0.5
1,128,128,0.005,32,0.6
1,256,128,0.0001,64,0.5
1,128,128,0.0005,64,0.8
1,32,512,0.0001,64,0.5
1,32,16,0.0001,32,0.5
1,16,16,0.0001,64,0.6
1,512,32,0.005,64,0.6
1,512,512,0.0001,32,0.8
1,16,32,0.001,64,0.5
1,512,256,0.005,64,0.6
1,16,128,0.0001,32,0.5
1,512,256,0.005,32,0.6
1,128,512,0.0005,32,0.6
1,128,32,0.005,64,0.5
1,128,128,0.01,64,0.5
1,128,128,0.0001,64,0.8
1,512,128,0.0001,64,0.8
1,256,256,0.01,64,0.5
1,256,512,0.005,64,0.5
1,128,32,0.001,64,0.8
1,32,256,0.001,32,0.5
1,128,128,0.001,32,0.5
1,512,32,0.0001,64,0.6
1,32,128,0.005,64,0.5
1,16,32,0.0001,64,0.6
1,32,32,0.005,32,0.5
1,256,256,0.0001,32,0.8
1,32,128,0.0001,32,0.8
1,16,128,0.001,64,0.6
1,16,512,0.0001,32,0.5
1,512,256,0.0001,64,0.5
1,32,16,0.01,64,0.5
1,32,32,0.01,32,0.5
1,256,32,0.001,32,0.8
1,512,512,0.001,64,0.5
1,512,32,0.001,32,0.8
1,16,512,0.0005,32,0.6
1,32,256,0.0005,32,0.6
1,512,16,0.0005,32,0.8
1,32,512,0.0001,64,0.8
1,128,128,0.0001,32,0.8
1,32,16,0.0001,64,0.8
1,128,32,0.01,64,0.6
1,256,16,0.001,32,0.6
1,256,32,0.0001,32,0.8
1,256,512,0.0001,32,0.6
1,32,16,0.005,32,0.6
1,128,32,0.0001,32,0.8
1,32,16,0.005,64,0.6
1,512,32,0.0001,32,0.8
1,256,128,0.01,64,0.5
1,128,32,0.0005,32,0.5
1,16,16,0.0005,64,0.6
1,16,32,0.0001,64,0.8
1,512,256,0.001,64,0.6
1,128,16,0.005,64,0.6
1,32,256,0.0001,32,0.6
1,512,16,0.0005,32,0.6
1,256,32,0.005,64,0.6
1,256,256,0.01,64,0.6
1,256,32,0.001,64,0.8
1,128,32,0.0005,64,0.8
1,128,512,0.0005,32,0.8
1,128,16,0.0001,32,0.8
1,256,32,0.005,64,0.5
1,16,16,0.0001,32,0.8
1,512,256,0.001,64,0.8
1,32,32,0.0005,64,0.6
1,512,256,0.01,64,0.5
1,512,512,0.001,32,0.5
1,128,32,0.0005,32,0.8
1,128,32,0.005,32,0.5
1,128,16,0.0005,32,0.5
1,32,512,0.0001,32,0.8
1,512,512,0.005,32,0.6
1,512,128,0.001,64,0.5
1,32,32,0.0001,32,0.8
1,512,256,0.005,32,0.8
1,16,16,0.0001,64,0.8
1,512,256,0.005,64,0.8
1,512,128,0.005,32,0.5
1,256,128,0.01,64,0.6
1,512,256,0.01,64,0.8
1,256,512,0.005,32,0.5
1,512,512,0.005,32,0.8
1,16,16,0.001,64,0.6
